,Residuals
2018-06-15,1.7638232533290332
2018-06-18,1.7558325923221503
2018-06-19,1.784862662435164
2018-06-20,1.792716593537294
2018-06-21,1.761657208978268
2018-06-22,1.7771615246771746
2018-06-25,1.78256644761015
2018-06-26,1.7890562743818466
2018-06-27,1.7769254540477042
2018-06-28,1.7963391410527167
2018-06-29,1.8073335718433192
2018-07-02,1.804290626658596
2018-07-03,1.8139984246156127
2018-07-04,1.8248225193629706
2018-07-05,1.8170309055154594
2018-07-06,1.8216471037876767
2018-07-10,1.8170320923426853
2018-07-11,1.8100525690070235
2018-07-12,1.8304632634345173
2018-07-13,1.8351484718925675
2018-07-16,1.831457255551105
2018-07-17,1.8482903651050946
2018-07-18,1.8319770038166063
2018-07-19,1.8333489029150303
2018-07-20,1.8459585111094095
2018-07-23,1.834005492687286
2018-07-24,1.8486029177239107
2018-07-25,1.8573622959228464
2018-07-26,1.8415794275890676
2018-07-27,1.8473711673173443
2018-07-30,1.850136290670675
2018-07-31,1.8341941042339602
2018-08-01,1.8371918596611776
2018-08-02,1.8412937938983251
2018-08-03,1.8622405439870016
2018-08-06,1.8508743734832578
2018-08-07,1.8406593209793902
2018-08-08,1.8267067258550016
2018-08-09,1.8256423597936586
2018-08-10,1.7990054726741014
2018-08-13,1.8203702964240618
2018-08-14,1.8344624571502663
2018-08-15,1.8117834289469674
2018-08-16,1.8127674277702868
2018-08-17,1.804842122514275
2018-08-20,1.8127119098906932
2018-08-21,1.79831754372691
2018-08-22,1.8257355238564648
2018-08-23,1.8051973707874946
2018-08-24,1.8170079796453331
2018-08-27,1.8377738043480294
2018-08-28,1.8262042418959803
2018-08-29,1.8375533665087156
2018-08-30,1.8083244745197562
2018-08-31,1.817199407799059
2018-09-03,1.811501986635062
2018-09-04,1.7940102543093035
2018-09-05,1.8052024142095617
2018-09-06,1.8238147929114406
2018-09-10,1.8204758970695236
2018-09-11,1.795924698838733
2018-09-12,1.8080146304930493
2018-09-13,1.8026175508636992
2018-09-14,1.8146807051721794
2018-09-17,1.8310079370234167
2018-09-18,1.8457323847531266
2018-09-19,1.8369543991172672
2018-09-20,1.833941274957862
2018-09-21,1.8494781249099304
2018-09-24,1.8254852070905692
2018-09-25,1.8362535215404425
2018-09-26,1.8346721034867732
2018-09-27,1.8506423228773712
2018-09-28,1.8372425901340712
2018-10-01,1.8281544068892592
2018-10-02,1.8672835373758114
2018-10-03,1.8778918254802832
2018-10-04,1.8650955074394302
2018-10-05,1.8543364639300428
2018-10-08,1.8987324134886792
2018-10-09,1.8859314219134857
2018-10-10,1.8522126738405271
2018-10-11,1.8472161944470908
2018-10-15,1.8551527624239483
2018-10-16,1.882144495205552
2018-10-17,1.8747557440913423
2018-10-18,1.848764316384854
2018-10-19,1.8570388643531541
2018-10-22,1.8726823617831139
2018-10-23,1.8644644839005968
2018-10-24,1.8367591041928066
2018-10-25,1.8549394522639462
2018-10-26,1.8726774187697113
2018-10-29,1.8444186579969255
2018-10-30,1.8843865322742062
2018-10-31,1.8817707750564936
2018-11-01,1.8881521213815136
2018-11-05,1.8957722082562056
2018-11-06,1.8789127879889715
2018-11-07,1.8675060141847255
2018-11-08,1.8448742973287384
2018-11-09,1.8513264316923488
2018-11-12,1.8517564968969231
2018-11-13,1.8457202987674184
2018-11-14,1.8604848482198033
2018-11-16,1.8872502539178875
2018-11-19,1.8718342630886333
2018-11-21,1.863176802552621
2018-11-22,1.8661584307738783
2018-11-23,1.8508297664362017
2018-11-26,1.8459835616814635
2018-11-27,1.8759360485269365
2018-11-28,1.8851885504392012
2018-11-29,1.8841408053307043
2018-11-30,1.8777457513942304
2018-12-03,1.8796092520936254
2018-12-04,1.8638956524583659
2018-12-05,1.8706512731645555
2018-12-06,1.8674002224899757
2018-12-07,1.8590545715208568
2018-12-10,1.835590284967446
2018-12-11,1.8485352668355155
2018-12-12,1.8559368835238885
2018-12-13,1.8648450149945681
2018-12-14,1.8576823431066796
2018-12-17,1.8457733291399925
2018-12-18,1.8512359169990784
2018-12-19,1.8406981949977208
2018-12-20,1.8390986782666947
2018-12-21,1.8465548493832746
2018-12-26,1.839804590793948
2018-12-27,1.8455617354738472
2018-12-28,1.8734029438807789
2019-01-02,1.9010936689958462
2019-01-03,1.895327880399221
2019-01-04,1.8918924382009354
2019-01-07,1.886011526644423
2019-01-08,1.8873273060945914
2019-01-09,1.9015578899942032
2019-01-10,1.8972693016231528
2019-01-11,1.892047927224402
2019-01-14,1.8987806699508476
2019-01-15,1.890401991920093
2019-01-16,1.892929917379996
2019-01-17,1.9008354178508275
2019-01-18,1.9044787727293762
2019-01-21,1.8993213026953004
2019-01-22,1.8877024677837566
2019-01-23,1.9037262638432808
2019-01-24,1.9107747884407678
2019-01-28,1.8824724178800927
2019-01-29,1.8879822957496621
2019-01-30,1.9018799989345334
2019-01-31,1.9018288333506006
2019-02-01,1.9036570837935627
2019-02-04,1.9080708006107718
2019-02-05,1.9015234697085224
2019-02-06,1.862090758315285
2019-02-07,1.8684678408156716
2019-02-08,1.881594068275163
2019-02-11,1.8705788287166802
2019-02-12,1.891354516736945
2019-02-13,1.88385814954687
2019-02-14,1.9057360746424776
2019-02-15,1.8942539826894964
2019-02-18,1.8824515980354226
2019-02-19,1.8958601255366991
2019-02-20,1.8812961423255854
2019-02-21,1.886951278476947
2019-02-22,1.8958117120589537
2019-02-25,1.8860616626199165
2019-02-26,1.8901058971324054
2019-02-27,1.8857417500179534
2019-02-28,1.8678916092142712
2019-03-01,1.8619627547521187
2019-03-06,1.8619421419301267
2019-03-07,1.8659515874829857
2019-03-08,1.8776916703830686
2019-03-11,1.9030038108473768
2019-03-12,1.8930673217090148
2019-03-13,1.9015382055689414
2019-03-14,1.8940347513661298
2019-03-15,1.8980161793633377
2019-03-18,1.9039915876313884
2019-03-19,1.8961381886154691
2019-03-20,1.8795839091295008
2019-03-21,1.8692311045330015
2019-03-22,1.8419791689883689
2019-03-25,1.8509159435295222
2019-03-26,1.8722425705333063
2019-03-27,1.8334475407992876
2019-03-28,1.8694670176181107
2019-03-29,1.8767612593760128
2019-04-01,1.880092935125652
2019-04-02,1.8702440922732708
2019-04-03,1.8614474005465698
2019-04-04,1.8829864136059942
2019-04-05,1.886956439012808
2019-04-08,1.8860158895069645
2019-04-09,1.8725446205808263
2019-04-10,1.8706622445358305
2019-04-11,1.8591850603529068
2019-04-12,1.842728914263562
2019-04-15,1.8515279519064558
2019-04-16,1.8668900758050513
2019-04-17,1.8534900098126124
2019-04-18,1.8698176096730688
2019-04-22,1.867269406663293
2019-04-23,1.8805317545266456
2019-04-24,1.867280522364041
2019-04-25,1.8838659657484742
2019-04-26,1.8763869259097974
2019-04-29,1.875085171762092
2019-04-30,1.8762247021151541
2019-05-02,1.8666496488740925
2019-05-03,1.8733419352800755
2019-05-06,1.8619217860395065
2019-05-07,1.8577462671547456
2019-05-08,1.872919343929408
2019-05-09,1.862246633384363
2019-05-10,1.85792540815575
2019-05-13,1.8326792825575637
2019-05-14,1.8446323902735653
2019-05-15,1.8415606288305266
2019-05-16,1.8267331380163734
2019-05-17,1.8325510933393465
2019-05-20,1.8568832222577232
2019-05-21,1.8802575498386256
2019-05-22,1.8709790832767506
2019-05-23,1.8637161690312696
2019-05-24,1.8605799202936946
2019-05-27,1.8740686770542663
2019-05-28,1.8865185463647296
2019-05-29,1.8827013666309815
2019-05-30,1.8890015362063384
2019-05-31,1.880498473115281
2019-06-03,1.8794787940109843
2019-06-04,1.8822084877197134
2019-06-05,1.8661106557134164
2019-06-06,1.8813126852612072
2019-06-07,1.8849107061669965
2019-06-10,1.878527675794429
2019-06-11,1.8933536761055967
2019-06-12,1.8822790582258135
2019-06-13,1.8865881879855095
2019-06-14,1.8772285808546036
2019-06-17,1.8738576156246256
2019-06-18,1.8929677254687016
2019-06-19,1.8973425007520652
2019-06-21,1.9100399013407157
2019-06-24,1.9040242044434876
2019-06-25,1.8813900488115882
2019-06-26,1.8904218762743072
2019-06-27,1.8895553531237326
2019-06-28,1.8911509973966005
2019-07-01,1.8935334107697126
2019-07-02,1.8844616649366985
2019-07-03,1.8995472072679567
2019-07-04,1.911201245554206
2019-07-05,1.9098306698203027
2019-07-08,1.9102906673805693
2019-07-10,1.9192477228684917
