Date,Open,Low,High,Close,Qt
19/04/2006,39937.74,39937.74,39937.74,39937.74,39937.74
20/04/2006,39774.59,39774.59,39774.59,39774.59,39774.59
24/04/2006,39751.3,39751.3,39751.3,39751.3,39751.3
25/04/2006,39738.07,39738.07,39738.07,39738.07,39738.07
26/04/2006,40410.06,40410.06,40410.06,40410.06,40410.06
27/04/2006,39751.44,39751.44,39751.44,39751.44,39751.44
28/04/2006,40363.42,40363.42,40363.42,40363.42,40363.42
02/05/2006,41016.58,41016.58,41016.58,41016.58,41016.58
03/05/2006,40919.76,40919.76,40919.76,40919.76,40919.76
04/05/2006,40975.78,40975.78,40975.78,40975.78,40975.78
05/05/2006,41417.27,41417.27,41417.27,41417.27,41417.27
08/05/2006,41515.49,41515.49,41515.49,41515.49,41515.49
09/05/2006,41979.29,41979.29,41979.29,41979.29,41979.29
10/05/2006,41751.5,41751.5,41751.5,41751.5,41751.5
11/05/2006,40847.07,40847.07,40847.07,40847.07,40847.07
12/05/2006,40211.97,40211.97,40211.97,40211.97,40211.97
15/05/2006,39271.45,39271.45,39271.45,39271.45,39271.45
16/05/2006,39416.44,39416.44,39416.44,39416.44,39416.44
17/05/2006,38290.68,38290.68,38290.68,38290.68,38290.68
18/05/2006,37807.15,37807.15,37807.15,37807.15,37807.15
19/05/2006,37732.86,37732.86,37732.86,37732.86,37732.86
22/05/2006,36496.92,36496.92,36496.92,36496.92,36496.92
23/05/2006,36110,36110,36110,36110,36110
24/05/2006,35791.96,35791.96,35791.96,35791.96,35791.96
25/05/2006,37568.66,37568.66,37568.66,37568.66,37568.66
26/05/2006,38629.71,38629.71,38629.71,38629.71,38629.71
29/05/2006,38145.15,38145.15,38145.15,38145.15,38145.15
30/05/2006,36412.51,36412.51,36412.51,36412.51,36412.51
31/05/2006,36530.04,36530.04,36530.04,36530.04,36530.04
01/06/2006,37748.3,37748.3,37748.3,37748.3,37748.3
02/06/2006,37942.18,37942.18,37942.18,37942.18,37942.18
05/06/2006,36739.86,36739.86,36739.86,36739.86,36739.86
06/06/2006,36557.8,36557.8,36557.8,36557.8,36557.8
07/06/2006,35264,35264,35264,35264,35264
08/06/2006,35437.78,35437.78,35437.78,35437.78,35437.78
09/06/2006,35074.63,35074.63,35074.63,35074.63,35074.63
12/06/2006,33554.52,33554.52,33554.52,33554.52,33554.52
13/06/2006,32847.61,32847.61,32847.61,32847.61,32847.61
14/06/2006,32941.46,32941.46,32941.46,32941.46,32941.46
16/06/2006,34398.92,34398.92,34398.92,34398.92,34398.92
19/06/2006,33897.35,33897.35,33897.35,33897.35,33897.35
20/06/2006,33632.14,33632.14,33632.14,33632.14,33632.14
21/06/2006,34546.64,34546.64,34546.64,34546.64,34546.64
22/06/2006,34316.77,34316.77,34316.77,34316.77,34316.77
23/06/2006,34661.22,34661.22,34661.22,34661.22,34661.22
26/06/2006,34631.24,34631.24,34631.24,34631.24,34631.24
27/06/2006,34375.73,34375.73,34375.73,34375.73,34375.73
28/06/2006,34834.65,34834.65,34834.65,34834.65,34834.65
29/06/2006,36486.67,36486.67,36486.67,36486.67,36486.67
30/06/2006,36630.66,36630.66,36630.66,36630.66,36630.66
03/07/2006,37357.2,37357.2,37357.2,37357.2,37357.2
04/07/2006,37367.34,37367.34,37367.34,37367.34,37367.34
05/07/2006,36378.03,36378.03,36378.03,36378.03,36378.03
06/07/2006,36533.13,36533.13,36533.13,36533.13,36533.13
07/07/2006,36101.98,36101.98,36101.98,36101.98,36101.98
10/07/2006,36140.64,36140.64,36140.64,36140.64,36140.64
11/07/2006,36553.56,36553.56,36553.56,36553.56,36553.56
12/07/2006,36229.71,36229.71,36229.71,36229.71,36229.71
13/07/2006,35354.28,35354.28,35354.28,35354.28,35354.28
14/07/2006,35349.68,35349.68,35349.68,35349.68,35349.68
17/07/2006,34866.31,34866.31,34866.31,34866.31,34866.31
18/07/2006,35130.42,35130.42,35130.42,35130.42,35130.42
19/07/2006,36785.45,36785.45,36785.45,36785.45,36785.45
20/07/2006,35846.84,35846.84,35846.84,35846.84,35846.84
21/07/2006,35510.4,35510.4,35510.4,35510.4,35510.4
24/07/2006,36224.39,36224.39,36224.39,36224.39,36224.39
25/07/2006,36680.83,36680.83,36680.83,36680.83,36680.83
26/07/2006,36594.3,36594.3,36594.3,36594.3,36594.3
27/07/2006,36887.72,36887.72,36887.72,36887.72,36887.72
28/07/2006,37381.06,37381.06,37381.06,37381.06,37381.06
31/07/2006,37077.12,37077.12,37077.12,37077.12,37077.12
01/08/2006,36839.31,36839.31,36839.31,36839.31,36839.31
02/08/2006,37288.4,37288.4,37288.4,37288.4,37288.4
03/08/2006,37451.19,37451.19,37451.19,37451.19,37451.19
04/08/2006,37847.88,37847.88,37847.88,37847.88,37847.88
07/08/2006,37697.55,37697.55,37697.55,37697.55,37697.55
08/08/2006,37600.44,37600.44,37600.44,37600.44,37600.44
09/08/2006,37255.12,37255.12,37255.12,37255.12,37255.12
10/08/2006,37353.76,37353.76,37353.76,37353.76,37353.76
11/08/2006,36944.43,36944.43,36944.43,36944.43,36944.43
14/08/2006,36556.88,36556.88,36556.88,36556.88,36556.88
15/08/2006,37295.93,37295.93,37295.93,37295.93,37295.93
16/08/2006,37677.81,37677.81,37677.81,37677.81,37677.81
17/08/2006,37558.89,37558.89,37558.89,37558.89,37558.89
18/08/2006,37551.71,37551.71,37551.71,37551.71,37551.71
21/08/2006,37160.6,37160.6,37160.6,37160.6,37160.6
22/08/2006,36677.51,36677.51,36677.51,36677.51,36677.51
23/08/2006,35512.1,35512.1,35512.1,35512.1,35512.1
24/08/2006,35797.26,35797.26,35797.26,35797.26,35797.26
25/08/2006,35957.52,35957.52,35957.52,35957.52,35957.52
28/08/2006,36374.51,36374.51,36374.51,36374.51,36374.51
29/08/2006,36303.67,36303.67,36303.67,36303.67,36303.67
30/08/2006,36313.43,36313.43,36313.43,36313.43,36313.43
31/08/2006,36232.22,36232.22,36232.22,36232.22,36232.22
01/09/2006,37329.15,37329.15,37329.15,37329.15,37329.15
04/09/2006,37693.35,37693.35,37693.35,37693.35,37693.35
05/09/2006,37367.96,37367.96,37367.96,37367.96,37367.96
06/09/2006,36709.87,36709.87,36709.87,36709.87,36709.87
08/09/2006,36558.48,36558.48,36558.48,36558.48,36558.48
11/09/2006,35772.49,35772.49,35772.49,35772.49,35772.49
12/09/2006,36146.66,36146.66,36146.66,36146.66,36146.66
13/09/2006,36549.71,36549.71,36549.71,36549.71,36549.71
14/09/2006,36153.6,36153.6,36153.6,36153.6,36153.6
15/09/2006,36169.93,36169.93,36169.93,36169.93,36169.93
18/09/2006,36482.78,36482.78,36482.78,36482.78,36482.78
19/09/2006,35885.68,35885.68,35885.68,35885.68,35885.68
20/09/2006,35196.59,35196.59,35196.59,35196.59,35196.59
21/09/2006,34830.08,34830.08,34830.08,34830.08,34830.08
22/09/2006,34798.8,34798.8,34798.8,34798.8,34798.8
25/09/2006,34972.74,34972.74,34972.74,34972.74,34972.74
26/09/2006,35818.97,35818.97,35818.97,35818.97,35818.97
27/09/2006,36105.64,36105.64,36105.64,36105.64,36105.64
28/09/2006,36486.19,36486.19,36486.19,36486.19,36486.19
29/09/2006,36449.4,36449.4,36449.4,36449.4,36449.4
02/10/2006,37057.75,37057.75,37057.75,37057.75,37057.75
03/10/2006,36437.55,36437.55,36437.55,36437.55,36437.55
04/10/2006,37749.29,37749.29,37749.29,37749.29,37749.29
05/10/2006,37976.86,37976.86,37976.86,37976.86,37976.86
06/10/2006,37940.44,37940.44,37940.44,37940.44,37940.44
09/10/2006,38406.37,38406.37,38406.37,38406.37,38406.37
10/10/2006,38654.69,38654.69,38654.69,38654.69,38654.69
11/10/2006,38322.21,38322.21,38322.21,38322.21,38322.21
13/10/2006,38850.16,38850.16,38850.16,38850.16,38850.16
16/10/2006,39229.06,39229.06,39229.06,39229.06,39229.06
17/10/2006,38897.5,38897.5,38897.5,38897.5,38897.5
18/10/2006,38685.99,38685.99,38685.99,38685.99,38685.99
19/10/2006,38919.75,38919.75,38919.75,38919.75,38919.75
20/10/2006,38642.82,38642.82,38642.82,38642.82,38642.82
23/10/2006,39226.76,39226.76,39226.76,39226.76,39226.76
24/10/2006,39498.98,39498.98,39498.98,39498.98,39498.98
25/10/2006,39562.63,39562.63,39562.63,39562.63,39562.63
26/10/2006,39644.78,39644.78,39644.78,39644.78,39644.78
27/10/2006,39328.47,39328.47,39328.47,39328.47,39328.47
30/10/2006,38900.49,38900.49,38900.49,38900.49,38900.49
31/10/2006,39262.79,39262.79,39262.79,39262.79,39262.79
01/11/2006,39930.05,39930.05,39930.05,39930.05,39930.05
03/11/2006,40435.18,40435.18,40435.18,40435.18,40435.18
06/11/2006,41246.61,41246.61,41246.61,41246.61,41246.61
07/11/2006,41048.31,41048.31,41048.31,41048.31,41048.31
08/11/2006,41334.23,41334.23,41334.23,41334.23,41334.23
09/11/2006,40815.48,40815.48,40815.48,40815.48,40815.48
10/11/2006,40719.92,40719.92,40719.92,40719.92,40719.92
13/11/2006,40605.79,40605.79,40605.79,40605.79,40605.79
14/11/2006,41290.7,41290.7,41290.7,41290.7,41290.7
16/11/2006,41161.87,41161.87,41161.87,41161.87,41161.87
17/11/2006,41029.43,41029.43,41029.43,41029.43,41029.43
21/11/2006,41570.4,41570.4,41570.4,41570.4,41570.4
22/11/2006,41912.92,41912.92,41912.92,41912.92,41912.92
23/11/2006,42069.83,42069.83,42069.83,42069.83,42069.83
24/11/2006,41757.72,41757.72,41757.72,41757.72,41757.72
27/11/2006,40914.63,40914.63,40914.63,40914.63,40914.63
28/11/2006,41043.15,41043.15,41043.15,41043.15,41043.15
